TRANSACTION_DATE,DAY_OF_MONTH,DAY_NAME,MONTH_OF_YEAR,MONTH_NAME,YEAR
2022-08-04,4,Thu,8,Aug,2022
2022-09-28,28,Wed,9,Sep,2022
2022-07-04,4,Mon,7,Jul,2022
2022-08-27,27,Sat,8,Aug,2022
2022-09-08,8,Thu,9,Sep,2022
2022-07-29,29,Fri,7,Jul,2022
2022-08-02,2,Tue,8,Aug,2022
2022-10-03,3,Mon,10,Oct,2022
2022-09-01,1,Thu,9,Sep,2022
2022-09-09,9,Fri,9,Sep,2022
2022-07-07,7,Thu,7,Jul,2022
2022-10-04,4,Tue,10,Oct,2022
2022-07-12,12,Tue,7,Jul,2022
2022-07-27,27,Wed,7,Jul,2022
2022-07-06,6,Wed,7,Jul,2022
2022-10-11,11,Tue,10,Oct,2022
2022-08-16,16,Tue,8,Aug,2022
2022-09-11,11,Sun,9,Sep,2022
2022-09-05,5,Mon,9,Sep,2022
2022-08-03,3,Wed,8,Aug,2022
2022-10-08,8,Sat,10,Oct,2022
2022-09-02,2,Fri,9,Sep,2022
2022-07-25,25,Mon,7,Jul,2022
2022-08-19,19,Fri,8,Aug,2022
2022-07-14,14,Thu,7,Jul,2022
2022-08-26,26,Fri,8,Aug,2022
2022-10-13,13,Thu,10,Oct,2022
2022-07-05,5,Tue,7,Jul,2022
2022-09-16,16,Fri,9,Sep,2022
2022-10-17,17,Mon,10,Oct,2022
2022-08-25,25,Thu,8,Aug,2022
2022-09-26,26,Mon,9,Sep,2022
2022-08-30,30,Tue,8,Aug,2022
2022-09-06,6,Tue,9,Sep,2022
2022-07-15,15,Fri,7,Jul,2022
2022-07-11,11,Mon,7,Jul,2022
2022-07-22,22,Fri,7,Jul,2022
2022-09-30,30,Fri,9,Sep,2022
2022-10-15,15,Sat,10,Oct,2022
2022-07-28,28,Thu,7,Jul,2022
2022-10-06,6,Thu,10,Oct,2022
2022-09-17,17,Sat,9,Sep,2022
2022-09-15,15,Thu,9,Sep,2022
2022-08-23,23,Tue,8,Aug,2022
2022-09-27,27,Tue,9,Sep,2022
2022-09-10,10,Sat,9,Sep,2022
2022-08-24,24,Wed,8,Aug,2022
2022-09-04,4,Sun,9,Sep,2022
2022-07-17,17,Sun,7,Jul,2022
2022-08-10,10,Wed,8,Aug,2022
2022-08-22,22,Mon,8,Aug,2022
2022-10-09,9,Sun,10,Oct,2022
2022-07-10,10,Sun,7,Jul,2022
2022-08-18,18,Thu,8,Aug,2022
2022-08-28,28,Sun,8,Aug,2022
2022-08-29,29,Mon,8,Aug,2022
2022-08-31,31,Wed,8,Aug,2022
2022-07-20,20,Wed,7,Jul,2022
2022-07-13,13,Wed,7,Jul,2022
2022-08-17,17,Wed,8,Aug,2022
2022-07-01,1,Fri,7,Jul,2022
2022-10-10,10,Mon,10,Oct,2022
2022-09-14,14,Wed,9,Sep,2022
2022-09-07,7,Wed,9,Sep,2022
2022-07-18,18,Mon,7,Jul,2022
2022-10-07,7,Fri,10,Oct,2022
2022-08-21,21,Sun,8,Aug,2022
2022-08-15,15,Mon,8,Aug,2022
2022-09-18,18,Sun,9,Sep,2022
2022-08-05,5,Fri,8,Aug,2022
2022-07-19,19,Tue,7,Jul,2022
2022-09-29,29,Thu,9,Sep,2022
2022-07-26,26,Tue,7,Jul,2022
2022-09-23,23,Fri,9,Sep,2022
2022-10-12,12,Wed,10,Oct,2022
2022-07-21,21,Thu,7,Jul,2022
2022-09-12,12,Mon,9,Sep,2022
2022-07-08,8,Fri,7,Jul,2022
2022-10-05,5,Wed,10,Oct,2022
2022-07-30,30,Sat,7,Jul,2022
2022-08-09,9,Tue,8,Aug,2022
2022-07-02,2,Sat,7,Jul,2022
2022-09-13,13,Tue,9,Sep,2022
2022-08-11,11,Thu,8,Aug,2022
2022-08-08,8,Mon,8,Aug,2022
2022-10-14,14,Fri,10,Oct,2022
2022-07-03,3,Sun,7,Jul,2022
2022-07-31,31,Sun,7,Jul,2022
2022-07-09,9,Sat,7,Jul,2022
2022-07-24,24,Sun,7,Jul,2022
2022-09-25,25,Sun,9,Sep,2022
2022-09-20,20,Tue,9,Sep,2022
2022-10-16,16,Sun,10,Oct,2022
2022-08-06,6,Sat,8,Aug,2022
2022-08-20,20,Sat,8,Aug,2022
2022-08-07,7,Sun,8,Aug,2022
2022-08-12,12,Fri,8,Aug,2022
2022-08-01,1,Mon,8,Aug,2022
2022-09-21,21,Wed,9,Sep,2022
2022-07-16,16,Sat,7,Jul,2022
2022-08-13,13,Sat,8,Aug,2022
2022-09-03,3,Sat,9,Sep,2022
2022-09-22,22,Thu,9,Sep,2022
2022-10-18,18,Tue,10,Oct,2022
